 CSV: Date,Score,URL,IP                                                             #
4/19/2025 12:23,2.8,https://sso-uphold-com---cdn---auths.webflow.io,104.18.36.248
4/19/2025 12:23,4.9,https://sdo434d3b38-us-east-2.s3.us-east-2.amazonaws.com/87f1c739.html,52.219.143.18
4/19/2025 12:22,4.3,https://rb.gy/cf5k2w,44.198.214.109
4/19/2025 12:22,3.4,https://rb.gy/6o3sza,54.204.93.137
4/19/2025 12:22,6.5,https://onggmbhu.com/kacpwr/?20967dd63bffb99cfe85387fcb6edbe7=colinastrong@btinternet.com,50.6.174.27
4/19/2025 12:22,6.5,https://onggmbhu.com/kacpwr/?20967dd63bffb99cfe85387fcb6edbe7=cartt2015@btinternet.com,50.6.174.27
4/19/2025 12:22,5.6,https://nouvellelivraison.info/check/calcul.php,45.139.104.97
4/19/2025 12:22,4.6,https://nouvellelivraison.info/,45.139.104.97
4/19/2025 12:22,5.7,https://mondial-fr-relay.com/check/calcul.php,45.139.104.97
4/19/2025 12:22,2.5,https://mondial-fr-relay.com/,45.139.104.97
4/19/2025 12:22,2.7,https://memivi.com.br/emprestimos/solicitar-clube-de-emprestimo-picpay/?utm_source=ak1&amp;utm_medium=sms&amp;utm_campaign=ame-emp-sms&amp;utm_term=br-emp&amp;utm_seq=dia01-sms01,2606:4700:20::ac43:4574
4/19/2025 12:22,2.9,https://mbdpdcaptcha235600.page.link/naxz,2607:f8b0:4006:81c::2001
4/19/2025 12:22,1.3,https://espacefree.com/?token=IGNhcmFtYmFyaXBAeWFob28uZnJ8TUlTfEpFQU4tTUFSSUV8MCA1NCBBVkVOVUUgTE9VSVMgTUlDSEVMIFZJTExBWnwzODI3MHxCRUFVUkVQQUlSRXwwNjk4NzA5MzUzfDB8RlI3NjEzOTA2MDAwNTg1ODA3MTE1NjAwMDg3fEFHUklGUlBQODM5fDAyLzA0LzIwMjU=,94.156.227.209
4/19/2025 12:22,1,https://115.155.66.148.host.secureserver.net/rechnung-sunrlse800881/,148.66.155.115
4/19/2025 12:22,1.4,http://allegro.pl-oferta3370758.icu,104.21.16.1
4/19/2025 10:53,3,http://termsbreachsocialoutreach.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,216.198.79.65
4/19/2025 10:53,5.4,http://termsbrandconnects-eight.vercel.app/get_help,216.198.79.1
4/19/2025 10:53,3,http://standardsengagesolutions.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,216.198.79.193
4/19/2025 10:53,2.5,https://support--en--ledger---cdn.webflow.io/,172.64.151.8
4/19/2025 10:53,2,https://sso-eng---uphold-com-s--autth.webflow.io/,2606:4700:4400::6812:24f8
4/19/2025 10:53,2.2,https://shahriar-mahmud-rakib.github.io/Amazon-Clone,185.199.108.153
4/19/2025 10:53,2.5,https://portal--app-ndax-io-cdn-p.webflow.io/,2606:4700:4400::6812:24f8
4/19/2025 10:53,3.1,https://mesdalu.app.br/,76.76.21.21
4/19/2025 10:53,2.4,http://smartadtech.vercel.app/managermentloc/Landingpage/landingpage.html,216.198.79.1
4/19/2025 10:53,5.6,https://loginmboxing2937373.webflow.io/,2606:4700:4400::6812:24f8
4/19/2025 10:52,3.4,https://extummetoamsk.gitbook.io/,2606:4700:4400::ac40:93d1
4/19/2025 10:52,3.4,https://engageedgedigitalrights.vercel.app/decision&copyright,216.198.79.1
4/19/2025 10:52,5.6,http://securitybreachsocialventures.vercel.app/get_help,216.198.79.193
4/19/2025 10:52,2,https://claim-uang10jt.sekarang.my.id/,172.67.215.118
4/19/2025 10:52,2.9,https://chomemetoamsk.gitbook.io/,2606:4700:4400::6812:282f
4/19/2025 10:52,5.8,http://policybreachbuzzforge.vercel.app/get_help,64.29.17.129
4/19/2025 10:52,3.5,http://metamcsk-wallxt.webflow.io/,2606:4700:4400::ac40:9708
4/19/2025 10:52,5.4,http://llgginkcoiun.webflow.io/,104.18.36.248
4/19/2025 10:52,5.3,http://illegaladvault.vercel.app/get_help,216.198.79.193
4/19/2025 10:52,5.1,http://contactnowid100739274.vercel.app/,64.29.17.65
4/19/2025 10:52,3.1,http://anasazistones.se1pdf.live/,2606:4700:3032::6815:3619
4/19/2025 10:52,2,http://aauth--sso-crypto-com-s-app.webflow.io/,104.18.36.248
4/19/2025 10:52,3.2,http://a7804cb6-f632-44ee-ab40-f114fb6bb3c0-00-1h6tkplx2h0la.kirk.replit.dev/,35.247.106.28
4/19/2025 9:32,2.3,http://zut-96y.pages.dev/,104.21.32.1
4/19/2025 9:31,2.5,http://y365990.com/activity.do,14.128.37.238
4/19/2025 9:31,5.2,http://www.rb.gy/6o3sza/,18.204.186.88
4/19/2025 9:31,6.9,http://www.helpnets.info/1b84b3a857da264d73k8079775181bd46607.html,2606:4700:20::ac43:45b0
4/19/2025 9:31,5.8,http://wordpress-salmon-zoo-my-service.codeanyapp.com/bill/,198.199.109.95
4/19/2025 9:31,5.2,http://winnerschapel.mmm.page/,104.19.190.101
4/19/2025 9:31,1.4,http://virtualnetsucpersona.store/,200.58.111.117
4/19/2025 9:31,5.4,http://verifty.cnbase-23.3-145-29-81.cprapid.com/?trackingid=mkxHDItLyz&signature=newsletter,3.145.29.81
4/19/2025 9:31,6.2,http://userprotectionengagementplus.vercel.app/get_help,216.198.79.1
4/19/2025 9:31,6.2,http://userlocktoolbrandfocusmedia.vercel.app/get_help,64.29.17.1
4/19/2025 9:31,6.6,http://userflagsocialdominion.vercel.app/get_help,64.29.17.1
4/19/2025 9:31,4.6,http://userblocksocialinsight.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA.html,64.29.17.65
4/19/2025 9:31,4.4,http://userblocksocialinsight.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,216.198.79.1
4/19/2025 9:31,5.3,http://uppheldlogin.webflow.io/,2606:4700:4400::ac40:9708
4/19/2025 9:31,2.5,http://update-audience-bar.vercel.app/,216.198.79.65
4/19/2025 9:31,6.2,http://unlawfulcontentsocialpivot.vercel.app/get_help,64.29.17.1
4/19/2025 9:31,5.6,http://trustadmasters.vercel.app/get_help,216.198.79.129
4/19/2025 9:31,5.3,http://trezzazorwallet.webflow.io/,2606:4700:4400::ac40:9708
4/19/2025 9:31,5.1,http://trevorrwolatz.webflow.io/,2606:4700:4400::ac40:9708
4/19/2025 9:31,2.7,http://transfert-we-facture-messagerie.funsite.cz/,62.109.140.53
4/19/2025 9:31,2.2,http://thedogeversefix.pages.dev/,172.66.44.169
4/19/2025 9:31,6.1,http://termshubmarketpulse.vercel.app/get_help,216.198.79.65
